"ID","Title","Post Type","district_code","province_id"
"1501","Huyện Đắk Mil","district","00485","409"
"1502","Huyện Krông Nô","district","00486","409"
"1503","Huyện Đắk Song","district","00487","409"
"1504","Huyện Đắk R'Lấp","district","00488","409"
"1505","Huyện Tuy Đức","district","00489","409"
"1506","TP Đà Lạt","district","00490","390"
"1507","TP Bảo Lộc","district","00491","390"
"1508","Huyện Đam Rông","district","00492","390"
"1509","Huyện Lạc Dương","district","00493","390"
"1510","Huyện Lâm Hà","district","00494","390"
"1511","Huyện Đơn Dương","district","00495","390"
"1512","Huyện Đức Trọng","district","00496","390"
"1513","Huyện Di Linh","district","00497","390"
"1514","Huyện Đạ Huoai","district","00498","390"
"1515","Huyện Đạ Tẻh","district","00499","390"
"1516","Huyện Cát Tiên","district","00500","390"
"1517","Thị xã Phước Long","district","00501","377"
"1518","Thị xã Đồng Xoài","district","00502","377"
"1519","Thị xã Bình Long","district","00503","377"
"1520","Huyện Bù Gia Mập","district","00504","377"
"1521","Huyện Lộc Ninh","district","00505","377"
"1522","Huyện Bù Đốp","district","00506","377"
"1523","Huyện Hớn Quản","district","00507","377"
"1524","Huyện Đồng Phú","district","00508","377"
"1525","Huyện Bù Đăng","district","00509","377"
"1526","Huyện Chơn Thành","district","00510","377"
"1527","Huyện Phú Riềng","district","00511","377"
"1528","TP Tây Ninh","district","00512","402"
"1529","Huyện Tân Biên","district","00513","402"
"1530","Huyện Tân Châu","district","00514","402"
"1531","Huyện Dương Minh Châu","district","00515","402"
"1532","Huyện Châu Thành","district","00516","399"
"1533","Huyện Hòa Thành","district","00517","402"
"1534","Huyện Gò Dầu","district","00518","402"
"1535","Huyện Bến Cầu","district","00519","402"
"1536","Huyện Trảng Bàng","district","00520","402"
"1537","TP Thủ Dầu Một","district","00521","375"
"1538","Huyện Bàu Bàng","district","00522","375"
"1539","Huyện Dầu Tiếng","district","00523","375"
"1540","Thị xã Bến Cát","district","00524","375"
"1541","Huyện Phú Giáo","district","00525","375"
"1542","Thị xã Tân Uyên","district","00526","375"
"1543","Thị xã Dĩ An","district","00527","375"
"1544","Thị xã Thuận An","district","00528","375"
"1545","Huyện Bắc Tân Uyên","district","00529","375"
"1546","TP Biên Hòa","district","00530","406"
"1547","Thị xã Long Khánh","district","00531","406"
"1548","Huyện Tân Phú","district","00532","406"
"1549","Huyện Vĩnh Cửu","district","00533","406"
"1550","Huyện Định Quán","district","00534","406"
"1551","Huyện Trảng Bom","district","00535","406"
"1552","Huyện Thống Nhất","district","00536","406"
"1553","Huyện Cẩm Mỹ","district","00537","406"
"1554","Huyện Long Thành","district","00538","406"
"1555","Huyện Xuân Lộc","district","00539","406"
"1556","Huyện Nhơn Trạch","district","00540","406"
"1557","TP Vũng Tàu","district","00541","379"
"1558","TP Bà Rịa","district","00542","379"
"1559","Huyện Châu Đức","district","00543","379"
"1560","Huyện Xuyên Mộc","district","00544","379"
"1561","Huyện Long Điền","district","00545","379"
"1562","Huyện Đất Đỏ","district","00546","379"
"1563","Huyện Tân Thạnh","district","00547","389"
"1564","Quận 1","district","00548","398"
"1565","Quận 12","district","00549","398"
"1566","Quận Thủ Đức","district","00550","398"
"1567","Quận 9","district","00551","398"
"1568","Quận Gò Vấp","district","00552","398"
"1569","Quận Bình Thạnh","district","00553","398"
"1570","Quận Tân Bình","district","00554","398"
"1571","Quận Tân Phú","district","00555","398"
"1572","Quận Phú Nhuận","district","00556","398"
"1573","Quận 2","district","00557","398"
"1574","Quận 3","district","00558","398"
"1575","Quận 10","district","00559","398"
"1576","Quận 11","district","00560","398"
"1577","Quận 4","district","00561","398"
"1578","Quận 5","district","00562","398"
"1579","Quận 6","district","00563","398"
"1580","Quận 8","district","00564","398"
"1581","Quận Bình Tân","district","00565","398"
"1582","Quận 7","district","00566","398"
"1583","Huyện Củ Chi","district","00567","398"
"1584","Huyện Hóc Môn","district","00568","398"
"1585","Huyện Bình Chánh","district","00569","398"
"1586","Huyện Nhà Bè","district","00570","398"
"1587","Huyện Cần Giờ","district","00571","398"
"1588","TP Tân An","district","00572","389"
"1589","Thị xã Kiến Tường","district","00573","389"
"1590","Huyện Tân Hưng","district","00574","389"
"1591","Huyện Vĩnh Hưng","district","00575","389"
"1592","Huyện Mộc Hóa","district","00576","389"
"1593","Huyện Thạnh Hóa","district","00577","389"
"1594","Huyện Đức Huệ","district","00578","389"
"1595","Huyện Đức Hòa","district","00579","389"
"1596","Huyện Bến Lức","district","00580","389"
"1597","Huyện Thủ Thừa","district","00581","389"
"1598","Huyện Tân Trụ","district","00582","389"
