"Phường Xã","province_id","district_id"
"Xã Văn Tự","347","1043"
"Xã Vạn Điểm","347","1043"
"Xã Minh Cường","347","1043"
"Thị trấn Phú Minh","347","1044"
"Thị trấn Phú Xuyên","347","1044"
"Xã Hồng Minh","347","1044"
"Xã Phượng Dực","347","1044"
"Xã Văn Nhân","347","1044"
"Xã Thụy Phú","347","1044"
"Xã Tri Trung","347","1044"
"Xã Đại Thắng","347","1044"
"Xã Phú Túc","347","1044"
"Xã Văn Hoàng","347","1044"
"Xã Hồng Thái","347","1044"
"Xã Hoàng Long","347","1044"
"Xã Quang Trung","347","1044"
"Xã Nam Phong","347","1044"
"Xã Nam Triều","347","1044"
"Xã Tân Dân","347","1044"
"Xã Sơn Hà","347","1044"
"Xã Chuyên Mỹ","347","1044"
"Xã Khai Thái","347","1044"
"Xã Phúc Tiến","347","1044"
"Xã Vân Từ","347","1044"
"Xã Tri Thủy","347","1044"
"Xã Đại Xuyên","347","1044"
"Xã Phú Yên","347","1044"
"Xã Bạch Hạ","347","1044"
"Xã Quang Lãng","347","1044"
"Xã Châu Can","347","1044"
"Xã Minh Tân","347","1044"
"Thị trấn Vân Đình","347","1045"
"Xã Viên An","347","1045"
"Xã Viên Nội","347","1045"
"Xã Hoa Sơn","347","1045"
"Xã Quảng Phú Cầu","347","1045"
"Xã Trường Thịnh","347","1045"
"Xã Cao Thành","347","1045"
"Xã Liên Bạt","347","1045"
"Xã Sơn Công","347","1045"
"Xã Đồng Tiến","347","1045"
"Xã Phương Tú","347","1045"
"Xã Trung Tú","347","1045"
"Xã Đồng Tân","347","1045"
"Xã Tảo Dương Văn","347","1045"
"Xã Vạn Thái","347","1045"
"Xã Minh Đức","347","1045"
"Xã Hòa Lâm","347","1045"
"Xã Hòa Xá","347","1045"
"Xã Trầm Lộng","347","1045"
"Xã Kim Đường","347","1045"
"Xã Hòa Nam","347","1045"
"Xã Hòa Phú","347","1045"
"Xã Đội Bình","347","1045"
"Xã Đại Hùng","347","1045"
"Xã Đông Lỗ","347","1045"
"Xã Phù Lưu","347","1045"
"Xã Đại Cường","347","1045"
"Xã Lưu Hoàng","347","1045"
"Xã Hồng Quang","347","1045"
"Thị trấn Đại Nghĩa","347","1046"
"Xã Đồng Tâm","347","1046"
"Xã Thượng Lâm","347","1046"
"Xã Tuy Lai","347","1046"
"Xã Phúc Lâm","347","1046"
"Xã Mỹ Thành","347","1046"
"Xã Bột Xuyên","347","1046"
"Xã An Mỹ","347","1046"
"Xã Hồng Sơn","347","1046"
"Xã Lê Thanh","347","1046"
"Xã Xuy Xá","347","1046"
"Xã Phùng Xá","347","1046"
"Xã Phù Lưu Tế","347","1046"
"Xã Đại Hưng","347","1046"
"Xã Vạn Kim","347","1046"
"Xã Đốc Tín","347","1046"
"Xã Hương Sơn","347","1046"
"Xã Hùng Tiến","347","1046"
"Xã An Tiến","347","1046"
"Xã Hợp Tiến","347","1046"
"Xã Hợp Thanh","347","1046"
"Xã An Phú","347","1046"
"Phường Quang Trung","348","1047"
"Phường Trần Phú","348","1047"
"Phường Ngọc Hà","348","1047"
"Phường Nguyễn Trãi","348","1047"
"Phường Minh Khai","348","1047"
"Xã Ngọc Đường","348","1047"
"Xã Phương Độ","348","1047"
"Xã Phương Thiện","348","1047"
"Thị trấn Phó Bảng","348","1048"
"Xã Lũng Cú","348","1048"
"Xã Má Lé","348","1048"
"Thị trấn Đồng Văn","348","1048"
"Xã Lũng Táo","348","1048"
"Xã Phố Là","348","1048"
"Xã Thài Phìn Tủng","348","1048"
"Xã Sủng Là","348","1048"
"Xã Xà Phìn","348","1048"
"Xã Tả Phìn","348","1048"
"Xã Tả Lủng","348","1048"
"Xã Phố Cáo","348","1048"
"Xã Sính Lủng","348","1048"
"Xã Sảng Tủng","348","1048"
"Xã Lũng Thầu","348","1048"
"Xã Hố Quáng Phìn","348","1048"
"Xã Vần Chải","348","1048"
"Xã Lũng Phìn","348","1048"
"Xã Sủng Trái","348","1048"
"Thị trấn Mèo Vạc","348","1049"
"Xã Thượng Phùng","348","1049"
"Xã Pải Lủng","348","1049"
"Xã Xín Cái","348","1049"
"Xã Pả Vi","348","1049"
"Xã Giàng Chu Phìn","348","1049"
"Xã Sủng Trà","348","1049"
"Xã Sủng Máng","348","1049"
